DATETIME,AVG_OFFSET,AVG_DELAY,MIN_OFFSET,MIN_DELAY,MAX_OFFSET,MAX_DELAY
14072022_170248,-1572137.713432312,159599.9002456665,-1708269.1192626953,26941.299438476562,-1498699.1882324219,263810.1577758789
14072022_170254,-1567633.032798767,157397.62783050537,-1726984.977722168,120043.75457763672,-1380443.5729980469,332832.33642578125
14072022_170418,-1560900.8073806763,157122.25437164307,-1783251.7623901367,92625.61798095703,-1478552.8182983398,369668.00689697266
